code,name,city,prov,nation,lat,lon,risk
1139A,呼兰师专,哈尔滨市,黑龙江省,中国,45.9855,126.595,2
1140A,省农科院,哈尔滨市,黑龙江省,中国,45.6842,126.6206,1
1141A,普陀,上海市,上海市,中国,31.238,121.4,1
1142A,十五厂,上海市,上海市,中国,31.2036,121.478,1
1143A,虹口,上海市,上海市,中国,31.3008,121.467,1
1144A,徐汇上师大,上海市,上海市,中国,31.1654,121.412,1
1145A,杨浦四漂,上海市,上海市,中国,31.2659,121.536,1
1146A,青浦淀山湖(对照点),上海市,上海市,中国,31.0935,120.978,1
1147A,静安监测站,上海市,上海市,中国,31.2261,121.425,1
1148A,浦东川沙,上海市,上海市,中国,31.1907,121.703,1
1149A,浦东新区监测站,上海市,上海市,中国,31.2284,121.533,1
1150A,浦东张江,上海市,上海市,中国,31.2071,121.577,1
1151A,迈皋桥,南京市,江苏省,中国,32.1065,118.8086,1
1152A,草场门,南京市,江苏省,中国,32.0551,118.7538,1
1153A,山西路,南京市,江苏省,中国,32.0745,118.7794,1
1154A,中华门,南京市,江苏省,中国,32.0023,118.7752,2
1155A,瑞金路,南京市,江苏省,中国,32.0309,118.8109,1
1156A,玄武湖,南京市,江苏省,中国,32.0754,118.7997,1
1157A,浦口,南京市,江苏省,中国,32.0931,118.6414,2
1158A,奥体中心,南京市,江苏省,中国,31.9996,118.7356,1
1159A,仙林大学城,南京市,江苏省,中国,32.1028,118.9125,1
1160A,上方山(对照点),苏州市,江苏省,中国,31.2472,120.561,1
1161A,南门,苏州市,江苏省,中国,31.2864,120.628,1
1162A,彩香,苏州市,江苏省,中国,31.3019,120.591,1
1163A,轧钢厂,苏州市,江苏省,中国,31.3264,120.596,1
1164A,吴中区,苏州市,江苏省,中国,31.2703,120.613,1
1165A,苏州新区,苏州市,江苏省,中国,31.2994,120.543,1
1166A,苏州工业园区,苏州市,江苏省,中国,31.3097,120.669,1
1167A,相城区,苏州市,江苏省,中国,31.3708,120.641,1
1168A,狼山街道,南通市,江苏省,中国,31.9663,120.9098,1
1169A,虹桥,南通市,江苏省,中国,32.0005,120.86,1
1170A,城中,南通市,江苏省,中国,32.02,120.87,1
